id,question,answer,category,url
DBFAQ3,陕西社保缴费基数上下限是多少？,陕西2025年度职工基本养老保险、失业保险、工伤保险核定个人缴费基数相关参数为93003元，上限23250元/月，下限4650元/月。回答时需标注这是2025年度口径。,社保,
DBFAQ4,新员工入职后多久要办理社保？,国家规则要求用人单位依法为职工参加社会保险。具体办理时间和经办口径以当地社保、税务系统要求为准。企业实践中应在建立劳动关系后及时办理参保，避免断缴和补缴情形。,社保,
DBFAQ5,离职后社保什么时候停？,离职停保需按企业与员工解除或终止劳动关系的实际时间和当地社保系统申报规则办理。平台可提示 HR 按月度申报期及时处理，具体截止时间以当地社保、税务经办系统为准。,社保,
DBFAQ6,陕西居民医保一年交多少钱？,陕西2026年度城乡居民医保个人筹资标准为每人每年400元，财政补助标准为700元。该信息为2026年度口径，后续年度需重新核验。,医保,
DBFAQ7,居民医保断缴后还能报销吗？,陕西居民医保未连续参保会影响待遇享受。集中缴费期外参保按等待期规定执行，等待期内发生的就医费用不予报销；未连续参保人员还可能增加变动等待期。,医保,
DBFAQ8,陕西医保家庭共济怎么绑定？,可通过陕西医保APP/小程序首页“家庭共济绑定”办理，阅读告知书后填写授权者和使用者信息，完成电子承诺签名并提交。使用时由使用人展示本人医保码结算。,医保,
DBFAQ15,员工自愿放弃社保可以吗？,不建议认可员工放弃社保。参加社会保险是用人单位和职工的法定义务，企业仅凭自愿放弃声明不能免除依法参保缴费责任。,社保,
DBFAQ16,上班路上受伤一定算工伤吗？,不能一概而论。上下班途中事故是否构成工伤，需要结合事故性质、责任认定、路线时间合理性等因素判断，并以工伤认定结论为准。,工伤,
DBFAQ17,工伤认定由谁申请？,用人单位、工伤职工或其近亲属、工会组织均可能依法提出工伤认定申请。企业应及时准备劳动关系、事故经过、医疗诊断等材料，并关注法定申请期限。,工伤,
DBFAQ21,陕西居民养老保险缴费档次有哪些？,陕西自2025年6月1日起，城乡居民基本养老保险个人缴费档次为每年300元、500元、800元、1000元、1500元、2000元、3000元、4000元、5000元、6000元。,养老,
DBFAQ22,养老保险关系什么时候需要转移？,跨省或跨制度流动通常需要转移养老保险关系；企业职工省内流动就业一般不需要转移，只需办理变更登记；已领取养老金的人员通常不再转移。,养老,
DBFAQ23,异地就医备案在哪里办？,可通过参保地医保经办窗口、国家医保服务平台APP、支付宝、微信小程序等渠道办理。国家医保服务平台APP路径为：在线办理 -> 异地备案 -> 异地就医备案申请。,医保,
DBFAQ24,工伤认定需要哪些基础材料？,通常需要工伤认定申请表、劳动关系证明、医疗诊断证明或职业病诊断证明等基础材料。具体以当地人社部门工伤认定窗口要求为准。,工伤,
DBFAQ25,工伤职工转诊转院怎么办？,陕西工伤职工因伤情确需转诊转院的，用人单位、工伤职工或近亲属需向经办机构提出申请，由工伤医疗协议机构提出意见，报参保地经办机构备案后转诊转院。,工伤,
DBFAQ27,医保家庭共济可以跨市用吗？,陕西省职工医保个人账户家庭共济已支持省内跨统筹区使用，只要共济人和被共济人都在省内参保，规则一致。,医保,
DBFAQ29,陕西居民医保连续参保有什么好处？,陕西明确，自2025年起连续参保满4年后每连续参保1年，大病保险最高支付限额提高不低于3000元；当年未使用医保基金报销的，次年大病保险最高支付限额也提高不低于3000元。,医保,
